Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1601,delighted,B1,adj.,/dɪˈlaɪtɪd/,高兴的,delighted with;delighted to;absolutely delighted,We were delighted with the warm welcome.,我们对热情的欢迎感到高兴。,pleased;thrilled,upset,delight → delighted：感到欣喜。
1602,deliver,B1,verb,/dɪˈlɪvə(r)/,递送；发表,deliver a package;deliver a speech;deliver to,The postman will deliver the package tomorrow.,邮递员明天会递送包裹。,bring;give,,deliver：送到，或发表讲话。
1603,delivery,B1,noun,/dɪˈlɪvəri/,递送,home delivery;delivery of;express delivery,We ordered pizza with free home delivery.,我们订了免费送餐上门的披萨。,shipment;handover,,deliver → delivery：递送服务。
1604,demand,B1,noun; verb,/dɪˈmɑːnd/,要求；需求,in demand;demand for;demand that,Good teachers are always in demand at schools.,好老师在学校总是很抢手。,require;request,supply,demand：要求，或市场需求。
1605,democratic,B1,adj.,/ˌdeməˈkrætɪk/,民主的,democratic country;democratic process;democratic right,Students used a democratic process to choose a leader.,学生用民主程序选出领袖。,egalitarian,autocratic,democracy → democratic：民主的。
1606,demonstrate,B1,verb,/ˈdemənstreɪt/,证明；示威；演示,demonstrate how;demonstrate against;demonstrate skill,Please demonstrate how to open this new software.,请演示如何打开这个新软件。,show;protest,,demonstrate：演示证明，或示威。
1607,demonstration,B1,noun,/ˌdemənˈstreɪʃn/,示威；演示,peaceful demonstration;demonstration of;product demonstration,There was a peaceful demonstration in the city centre.,市中心有一场和平示威。,protest;display,,demonstrate → demonstration：示威或演示。
1608,deny,B1,verb,/dɪˈnaɪ/,否认,deny that;deny doing;deny access,He did not deny that he had made a mistake.,他不否认自己犯了错。,refuse;reject,admit,deny：否认或拒绝给予。
1609,depart,B1,verb,/dɪˈpɑːt/,离开；出发,depart from;depart for;depart early,The train will depart from platform three at noon.,火车中午从三号站台出发。,leave;set off,arrive,depart：离开某地出发。
1610,department,B1,noun,/dɪˈpɑːtmənt/,部门,department store;sales department;department of,She works in the sales department of a bank.,她在银行销售部工作。,division;section,,department：大机构中的部门。
1611,departure,B1,noun,/dɪˈpɑːtʃə(r)/,出发；离开,departure time;departure of;point of departure,Please check the departure time on the screen.,请在屏幕上核对出发时间。,leaving;exit,arrival,depart → departure：出发这件事。
1612,depend,B1,verb,/dɪˈpend/,依赖,depend on;depend upon;it depends,Success will depend on how hard you practise.,成功取决于你练习得多努力。,rely;hinge on,,depend on：依靠。
1613,dependent,B1,adj.,/dɪˈpendənt/,依赖的,dependent on;dependent child;financially dependent,Young children are dependent on their parents.,幼儿依赖父母。,reliant,independent,depend → dependent：依赖的。
1614,deposit,B1,noun; verb,/dɪˈpɒzɪt/,押金；存款,pay a deposit;bank deposit;deposit of,You must pay a deposit to book the flat.,预订公寓必须支付押金。,down payment;put down,withdraw,deposit：押金或存款。
1615,depress,B1,verb,/dɪˈpres/,使沮丧,depress prices;depress someone;depress demand,Bad news can depress even cheerful people.,坏消息甚至会让开朗的人沮丧。,sadden;lower,cheer up,depress：使情绪低落。
1616,depressed,B1,adj.,/dɪˈprest/,沮丧的,feel depressed;depressed about;clinically depressed,He felt depressed after failing the important exam.,重要考试失败后他感到沮丧。,sad;down,cheerful,depress → depressed：情绪低落的。
